"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","CAN","Canada","2010","2010",1617344.9,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","CAN","Canada","2011","2011",1793326.9,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","CAN","Canada","2012","2012",1828362,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","CAN","Canada","2013","2013",1846596.1,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","CAN","Canada","2014","2014",1805751,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","CAN","Canada","2015","2015",1556508.3,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","CAN","Canada","2016","2016",1527996.4,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","CAN","Canada","2017","2017",1649265.4,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","CAN","Canada","2018","2018",1725300.2,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","CAN","Canada","2019","2019",1743725.7,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","CAN","Canada","2020","2020",1647598,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","CAN","Canada","2021","2021",2001486.6,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","CAN","Canada","2022","2022",2139839.7,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","FRA","France","2010","2010",2645187.8,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","FRA","France","2011","2011",2865157.1,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","FRA","France","2012","2012",2683672.1,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","FRA","France","2013","2013",2811877.4,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","FRA","France","2014","2014",2855965.2,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","FRA","France","2015","2015",2439189.8,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","FRA","France","2016","2016",2472965.5,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","FRA","France","2017","2017",2595149.6,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","FRA","France","2018","2018",2790955.8,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","FRA","France","2019","2019",2728871,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","FRA","France","2020","2020",2639009.9,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","FRA","France","2021","2021",2957880.2,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","FRA","France","2022","2022",2782904.6,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","DEU","Germany","2010","2010",3399667.8,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","DEU","Germany","2011","2011",3749314.5,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","DEU","Germany","2012","2012",3527143.7,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","DEU","Germany","2013","2013",3733805.3,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","DEU","Germany","2014","2014",3889094.1,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","DEU","Germany","2015","2015",3357587.3,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","DEU","Germany","2016","2016",3469855.1,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","DEU","Germany","2017","2017",3690847.1,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","DEU","Germany","2018","2018",3974441.8,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","DEU","Germany","2019","2019",3888227.2,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","DEU","Germany","2020","2020",3889670.7,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","DEU","Germany","2021","2021",4259935.6,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","DEU","Germany","2022","2022",4072190.7,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","ITA","Italy","2010","2010",2136099.9,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","ITA","Italy","2011","2011",2294994,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","ITA","Italy","2012","2012",2086958,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","ITA","Italy","2013","2013",2141924.4,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","ITA","Italy","2014","2014",2162010.2,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","ITA","Italy","2015","2015",1836638.6,,
"ECONPIBN","Gross domestic product (GDP)","MTMOTCMT","Million US$ at exchange rate","ITA","Italy","2016","2016",1877072.6,,
